,Unnamed: 0,patch,mean_RA,mean_DEC,photoz,masses
488,488,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0/sweep-120p050-130p055.fits,124.93470071144354,52.4399807946906,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0-photo-z/sweep-120p050-130p055-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/north/sweep-120p050-130p055_stellar_mass.npy
484,484,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0/sweep-330p025-340p030.fits,338.76411586760275,29.13467022365421,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0-photo-z/sweep-330p025-340p030-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/north/sweep-330p025-340p030_stellar_mass.npy
76,76,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-080m035-090m030.fits,84.9914229774042,-32.39660811694738,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-080m035-090m030-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-080m035-090m030_stellar_mass.npy
64,64,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-020p030-030p035.fits,24.809731832963795,31.82371879831876,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-020p030-030p035-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-020p030-030p035_stellar_mass.npy
573,573,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0/sweep-180p030-190p035.fits,184.93217091327844,32.89418231752785,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0-photo-z/sweep-180p030-190p035-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/north/sweep-180p030-190p035_stellar_mass.npy
344,344,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-340m050-350m045.fits,345.09633045561026,-47.52277631027683,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-340m050-350m045-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-340m050-350m045_stellar_mass.npy
52,52,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-120p005-130p010.fits,124.87398219888368,7.479120974715222,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-120p005-130p010-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-120p005-130p010_stellar_mass.npy
498,498,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0/sweep-170p040-180p045.fits,174.98118094679833,42.4341864197339,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0-photo-z/sweep-170p040-180p045-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/north/sweep-170p040-180p045_stellar_mass.npy
293,293,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-060m025-070m020.fits,64.95288422544441,-22.489913688866046,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-060m025-070m020-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-060m025-070m020_stellar_mass.npy
312,312,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-000p030-010p035.fits,4.882833256061327,32.120617659855036,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-000p030-010p035-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-000p030-010p035_stellar_mass.npy
