,patch,mean_RA,mean_DEC,photoz,masses
45,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-060m015-070m010.fits,64.58402682366246,-12.45230735969148,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-060m015-070m010-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-060m015-070m010_stellar_mass.npy
46,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-230p030-240p035.fits,234.9621544365968,31.99501896953628,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-230p030-240p035-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-230p030-240p035_stellar_mass.npy
47,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-170m035-180m030.fits,170.23284020521945,-30.14124483677497,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-170m035-180m030-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-170m035-180m030_stellar_mass.npy
48,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-200p015-210p020.fits,205.0209941934139,17.47902053507383,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-200p015-210p020-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-200p015-210p020_stellar_mass.npy
49,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-330m070-340m065.fits,334.79030039384884,-66.11611089725162,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-330m070-340m065-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-330m070-340m065_stellar_mass.npy
50,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-060m065-070m060.fits,65.28356318893834,-62.567304957142866,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-060m065-070m060-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-060m065-070m060_stellar_mass.npy
51,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-200m005-210p000.fits,205.03503649385735,-2.5056523199548697,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-200m005-210p000-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-200m005-210p000_stellar_mass.npy
52,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-310m070-320m065.fits,315.15931626456205,-65.93327718248817,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-310m070-320m065-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-310m070-320m065_stellar_mass.npy
53,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-120p020-130p025.fits,124.89085538767088,22.488186970232515,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-120p020-130p025-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-120p020-130p025_stellar_mass.npy
54,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-010m010-020m005.fits,14.994533868733578,-7.2475546618992235,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-010m010-020m005-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-010m010-020m005_stellar_mass.npy
55,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-020m045-030m040.fits,25.182268679676955,-42.473342769736945,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-020m045-030m040-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-020m045-030m040_stellar_mass.npy
56,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-130p000-140p005.fits,134.9580068368148,2.4851808090200156,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-130p000-140p005-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-130p000-140p005_stellar_mass.npy
57,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-080m040-090m035.fits,84.96407770381501,-37.50736139909914,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-080m040-090m035-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-080m040-090m035_stellar_mass.npy
58,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-130p015-140p020.fits,134.94381658386922,17.49339401476185,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-130p015-140p020-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-130p015-140p020_stellar_mass.npy
59,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-340p030-350p035.fits,344.6669013147252,32.008969483582035,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-340p030-350p035-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-340p030-350p035_stellar_mass.npy
60,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-320m020-330m015.fits,323.40936506227257,-15.733377808774181,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-320m020-330m015-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-320m020-330m015_stellar_mass.npy
61,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-200p005-210p010.fits,204.9691733695541,7.4730467685329565,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-200p005-210p010-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-200p005-210p010_stellar_mass.npy
62,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-260p025-270p030.fits,265.2471797711284,27.38965462875678,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-260p025-270p030-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-260p025-270p030_stellar_mass.npy
63,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-030p020-040p025.fits,34.98169332485298,22.44121066684019,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-030p020-040p025-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-030p020-040p025_stellar_mass.npy
64,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-020m020-030m015.fits,25.091817838001255,-17.47568410228209,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-020m020-030m015-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-020m020-030m015_stellar_mass.npy
65,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-330m045-340m040.fits,335.03622889849487,-42.55294617559461,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-330m045-340m040-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-330m045-340m040_stellar_mass.npy
66,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-240p025-250p030.fits,245.06632540773415,27.449163756427634,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-240p025-250p030-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-240p025-250p030_stellar_mass.npy
67,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-340p000-350p005.fits,344.94898897752864,2.168810251135273,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-340p000-350p005-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-340p000-350p005_stellar_mass.npy
68,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-300m005-310p000.fits,307.7538885791272,-2.622266047254072,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-300m005-310p000-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-300m005-310p000_stellar_mass.npy
69,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-010m050-020m045.fits,15.055925806408597,-47.4529785855666,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-010m050-020m045-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-010m050-020m045_stellar_mass.npy
70,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-150m030-160m025.fits,155.18729759430119,-27.61308457770899,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-150m030-160m025-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-150m030-160m025_stellar_mass.npy
71,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-090m050-100m045.fits,93.62228839591236,-47.5626656864585,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-090m050-100m045-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-090m050-100m045_stellar_mass.npy
72,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-210p030-220p035.fits,215.0031811255539,31.771365563896936,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-210p030-220p035-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-210p030-220p035_stellar_mass.npy
73,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-090m040-100m035.fits,91.92936289792176,-37.7280217827549,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-090m040-100m035-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-090m040-100m035_stellar_mass.npy
74,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-060m005-070p000.fits,65.12042914558339,-2.5780454727913362,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-060m005-070p000-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-060m005-070p000_stellar_mass.npy
